Jurisdiction,State,Land Area,Population,Population Density,PD Rank,Cases,Deaths,Score
Summit,Utah,1871.71,42145.00,22.52,2154,5194,11,5304
Fulton,Ohio,405.44,42126.00,103.90,865,3890,64,4530
Hendry,Florida,1152.75,42022.00,36.45,1758,4418,76,5178
Clinton,Ohio,408.68,41968.00,102.69,872,3500,58,4080
Baxter,Arkansas,554.28,41932.00,75.65,1107,3020,100,4020
Upshur,Texas,582.95,41753.00,71.62,1153,3179,67,3849
Sequoyah,Oklahoma,673.27,41569.00,61.74,1281,4017,34,4357
Wharton,Texas,1086.15,41556.00,38.26,1710,3866,109,4956
Levy,Florida,1118.21,41503.00,37.12,1743,3034,43,3464
Crawford,Ohio,401.79,41494.00,103.27,868,3713,100,4713
Ohio,West Virginia,105.82,41411.00,391.33,336,3746,76,4506
Warren,Tennessee,432.68,41277.00,95.40,925,5386,79,6176
Cooke,Texas,874.76,41257.00,47.16,1515,3594,65,4244
Mercer,Ohio,462.45,41172.00,89.03,978,4626,84,5466
Sanilac,Michigan,962.57,41170.00,42.77,1608,2472,79,3262
Fayette,Tennessee,704.79,41133.00,58.36,1323,4756,75,5506
Mayes,Oklahoma,618.50,41100.00,66.45,1220,4084,40,4484
Manassas city,Virginia,9.88,41085.00,4158.40,20,4114,45,4564
Shawano,Wisconsin,893.06,40899.00,45.80,1547,5162,81,5972
Benton,Minnesota,408.30,40889.00,100.14,887,4747,95,5697
Preble,Ohio,424.12,40882.00,96.39,913,3587,93,4517
Gratiot,Michigan,568.46,40711.00,71.62,1154,5733,108,6813
Cheatham,Tennessee,302.44,40667.00,134.46,735,4130,47,4600
Mississippi,Arkansas,900.57,40651.00,45.14,1564,5719,106,6779
Tift,Georgia,258.92,40644.00,156.98,658,4757,123,5987
McKean,Pennsylvania,979.20,40625.00,41.49,1633,3115,65,3765
Isanti,Minnesota,435.79,40596.00,93.15,944,3183,57,3753
Tazewell,Virginia,518.85,40595.00,78.24,1069,3325,63,3955
Tioga,Pennsylvania,1133.79,40591.00,35.80,1781,2523,94,3463
Ottawa,Ohio,254.92,40525.00,158.97,648,3325,75,4075
Harrison,Indiana,484.52,40515.00,83.62,1020,4151,70,4851
Jim Wells,Texas,864.97,40482.00,46.80,1521,4071,92,4991
McClain,Oklahoma,954.99,40474.00,42.38,1612,5102,54,5642
Nez Perce,Idaho,848.09,40408.00,47.65,1505,3447,53,3977
Snyder,Pennsylvania,328.71,40372.00,122.82,767,3215,82,4035
Tallapoosa,Alabama,716.52,40367.00,56.34,1345,3830,144,5270
Orleans,New York,391.26,40352.00,103.13,869,2537,82,3357
Marinette,Wisconsin,1399.35,40350.00,28.83,1961,4394,68,5074
Susquehanna,Pennsylvania,823.44,40328.00,48.98,1474,1841,53,2371
Oconee,Georgia,184.29,40280.00,218.57,526,3838,65,4488
Clatsop,Oregon,829.05,40224.00,48.52,1482,807,7,877
Warren,Virginia,213.47,40164.00,188.15,576,2440,51,2950
Avoyelles,Louisiana,832.43,40144.00,48.23,1489,3973,121,5183
Howell,Missouri,927.25,40117.00,43.26,1598,3455,43,3885
Latah,Idaho,1076.00,40108.00,37.28,1736,2882,8,2962
Murray,Georgia,344.47,40096.00,116.40,794,4622,77,5392
Mower,Minnesota,711.33,40062.00,56.32,1347,4263,31,4573
Danville city,Virginia,42.93,40044.00,932.77,159,4129,122,5349
Madison,Idaho,469.21,39907.00,85.05,1010,6699,22,6919
Wyoming,New York,592.75,39859.00,67.24,1206,2991,49,3481
Campbell,Tennessee,480.19,39842.00,82.97,1025,3955,59,4545
Pasquotank,North Carolina,226.88,39824.00,175.53,598,3153,78,3933
Knox,Maine,365.13,39772.00,108.93,830,758,5,808
Amador,California,594.58,39752.00,66.86,1211,3514,44,3954
Waldo,Maine,729.92,39715.00,54.41,1379,673,19,863
Bryan,Georgia,435.97,39627.00,90.89,959,3418,36,3778
LaGrange,Indiana,379.62,39614.00,104.35,860,2450,72,3170
Webster,Missouri,592.56,39592.00,66.82,1212,3489,53,4019
Person,North Carolina,392.32,39490.00,100.66,883,3154,67,3824
Wayne,West Virginia,505.98,39402.00,77.87,1077,2668,34,3008
Marshall,Iowa,572.50,39369.00,68.77,1191,4706,74,5446
Pike,Mississippi,409.02,39288.00,96.05,918,3112,101,4122
Fremont,Wyoming,9183.81,39261.00,4.28,2809,4998,82,5818
Warren,Pennsylvania,884.14,39191.00,44.33,1583,2247,98,3227
Calloway,Kentucky,385.02,39001.00,101.30,879,3434,45,3884
Des Moines,Iowa,416.12,38967.00,93.64,939,4327,63,4957
Rio Arriba,New Mexico,5860.84,38921.00,6.64,2707,3447,71,4157
Champaign,Ohio,428.67,38885.00,90.71,962,3006,51,3516
Albany,Wyoming,4273.84,38880.00,9.10,2603,3936,11,4046
Guernsey,Ohio,522.25,38875.00,74.44,1123,2958,47,3428
Brown,South Dakota,1712.98,38839.00,22.67,2143,5238,90,6138
Graham,Arizona,4622.60,38837.00,8.40,2634,5345,76,6105
Crawford,Kansas,589.76,38818.00,65.82,1225,4605,82,5425
Union,Arkansas,1039.21,38682.00,37.22,1740,3872,107,4942
Clinton,Pennsylvania,887.98,38632.00,43.51,1593,2979,57,3549
Franklin,Illinois,408.89,38469.00,94.08,936,4213,79,5003
Okmulgee,Oklahoma,697.35,38465.00,55.16,1367,3657,51,4167
Woodford,Illinois,527.80,38459.00,72.87,1142,3866,73,4596
Newberry,South Carolina,630.04,38440.00,61.01,1291,4589,93,5519
Clarion,Pennsylvania,600.83,38438.00,63.97,1252,2769,87,3639
Lawrence,Missouri,611.74,38355.00,62.70,1269,3391,78,4171
Prince George,Virginia,265.16,38353.00,144.64,685,3151,21,3361
Webster,Louisiana,593.03,38340.00,64.65,1238,3964,102,4984
Montgomery,Indiana,504.61,38338.00,75.98,1102,4012,85,4862
Pontotoc,Oklahoma,720.44,38284.00,53.14,1405,4999,49,5489
Scott,Missouri,419.99,38280.00,91.15,958,4662,81,5472
Natchitoches,Louisiana,1252.25,38158.00,30.47,1914,3896,82,4716
Douglas,Minnesota,637.30,38141.00,59.85,1300,4040,70,4740
Defiance,Ohio,411.46,38087.00,92.57,949,3819,94,4759
DeSoto,Florida,637.06,38001.00,59.65,1302,3976,79,4766
Oconto,Wisconsin,997.99,37930.00,38.01,1720,4775,55,5325
Brown,Texas,944.43,37864.00,40.09,1673,4209,133,5539
Independence,Arkansas,763.95,37825.00,49.51,1463,3705,120,4905
Cass,Indiana,412.16,37689.00,91.44,956,5577,103,6607
Jefferson,Illinois,571.17,37684.00,65.98,1224,4038,119,5228
Colleton,South Carolina,1056.49,37677.00,35.66,1785,3351,117,4521
Yadkin,North Carolina,334.83,37667.00,112.50,811,3765,47,4235
Louisa,Virginia,496.30,37591.00,75.74,1106,1744,27,2014
Williams,North Dakota,2077.40,37589.00,18.09,2307,4564,36,4924
Putnam,Indiana,480.53,37576.00,78.20,1070,3438,60,4038
Clinton,Illinois,474.09,37562.00,79.23,1057,5642,98,6622
Beauregard,Louisiana,1157.34,37497.00,32.40,1852,2921,70,3621
Alexander,North Carolina,259.99,37497.00,144.22,687,4031,82,4851
Boone,Arkansas,590.23,37432.00,63.42,1260,3711,78,4491
Wise,Virginia,403.19,37383.00,92.72,947,2944,92,3864
Chippewa,Michigan,1558.42,37349.00,23.97,2097,4955,44,5395
Gloucester,Virginia,217.81,37348.00,171.47,606,1994,45,2444
Graves,Kentucky,551.74,37266.00,67.54,1202,4032,86,4892
Marion,Illinois,580.69,37205.00,64.07,1251,4322,119,5512
Dallas,Alabama,978.70,37196.00,38.01,1721,3502,146,4962
Jasper,Iowa,730.42,37185.00,50.91,1437,3937,69,4627
Talbot,Maryland,268.54,37181.00,138.46,715,1926,36,2286
Dyer,Tennessee,512.33,37159.00,72.53,1144,5291,103,6321
Isle of Wight,Virginia,315.61,37109.00,117.58,789,2812,58,3392
Hopkins,Texas,767.17,37084.00,48.34,1487,2987,107,4057
Orange,Virginia,340.78,37051.00,108.72,833,1944,34,2284
Covington,Alabama,1030.46,37049.00,35.95,1776,4026,110,5126
Dare,North Carolina,383.42,37009.00,96.52,911,1934,8,2014
Green,Wisconsin,583.96,36960.00,63.29,1261,3384,22,3604
Alcorn,Mississippi,400.04,36953.00,92.37,950,2946,63,3576
Essex,New York,1794.23,36885.00,20.56,2225,1419,26,1679
Addison,Vermont,766.33,36777.00,47.99,1494,885,8,965
Williams,Ohio,420.97,36692.00,87.16,996,3079,71,3789
Howard,Texas,900.79,36664.00,40.70,1657,4546,99,5536
Steele,Minnesota,429.65,36649.00,85.30,1009,3215,11,3325
Hill,Texas,958.86,36649.00,38.22,1713,4360,104,5400
Matagorda,Texas,380.88,36643.00,96.21,915,3328,95,4278
Escambia,Alabama,945.08,36633.00,38.76,1696,3838,74,4578
Coshocton,Ohio,563.91,36600.00,64.90,1236,2502,56,3062
Knox,Indiana,516.03,36594.00,70.91,1164,3590,86,4450
Dodge,Nebraska,528.71,36565.00,69.16,1181,4732,56,5292
Huntington,Indiana,382.65,36520.00,95.44,923,3611,80,4411
Finney,Kansas,1301.97,36467.00,28.01,1984,6003,123,7233
Whitley,Kentucky,437.83,36264.00,82.83,1028,4468,40,4868
Clark,Kentucky,252.46,36263.00,143.64,691,2579,26,2839
Greene,Pennsylvania,575.95,36233.00,62.91,1265,2770,35,3120
Perry,Ohio,407.97,36134.00,88.57,983,2774,49,3264
Cocke,Tennessee,434.57,36004.00,82.85,1027,4234,96,5194
Webster,Iowa,715.62,35904.00,50.17,1449,5008,88,5888
McLeod,Minnesota,712.35,35893.00,50.39,1445,3539,54,4079
Washington,Texas,603.95,35882.00,59.41,1308,3773,86,4633
Carlton,Minnesota,861.38,35871.00,41.64,1631,3051,50,3551
Macon,North Carolina,440.61,35858.00,81.38,1037,2636,31,2946
Sagadahoc,Maine,253.70,35856.00,141.33,703,937,6,997
Barry,Missouri,778.25,35789.00,45.99,1542,2881,45,3331
Delta,Michigan,1171.10,35784.00,30.56,1912,3221,85,4071
Adams,Indiana,339.03,35777.00,105.53,849,3364,52,3884
Ware,Georgia,892.46,35734.00,40.04,1675,4710,157,6280
Uintah,Utah,4479.69,35734.00,7.98,2651,1757,17,1927
Laclede,Missouri,764.72,35723.00,46.71,1524,3244,66,3904
Houghton,Michigan,1009.10,35684.00,35.36,1792,2755,39,3145
Warren,Missouri,428.60,35649.00,83.18,1022,2974,29,3264
Livingston,Illinois,1044.29,35648.00,34.14,1821,4345,91,5255
Scotts Bluff,Nebraska,739.40,35618.00,48.17,1491,4563,95,5513
Oneida,Wisconsin,1112.97,35595.00,31.98,1869,3599,73,4329
Floyd,Kentucky,393.35,35589.00,90.48,965,3120,57,3690
Jasper,Texas,938.85,35529.00,37.84,1724,2354,83,3184
Miami,Indiana,373.84,35516.00,95.00,928,3649,65,4299
Fannin,Texas,890.84,35514.00,39.87,1677,3391,105,4441
Bennington,Vermont,674.98,35470.00,52.55,1416,1610,9,1700
Morrow,Ohio,406.08,35328.00,87.00,998,2662,39,3052
Marshall,Mississippi,706.19,35294.00,49.98,1453,4189,99,5179
Monroe,Mississippi,765.09,35252.00,46.08,1539,4034,130,5334
Harris,Georgia,463.87,35236.00,75.96,1103,2437,50,2937
Madison,Nebraska,858.98,35099.00,40.86,1654,4413,44,4853
Greenup,Kentucky,344.40,35098.00,101.91,875,3399,44,3839
Brookings,South Dakota,792.21,35077.00,44.28,1584,3701,37,4071
Wapello,Iowa,431.83,34969.00,80.98,1042,4180,114,5320
Silver Bow,Montana,718.48,34915.00,48.60,1480,3898,81,4708
Lincoln,Nebraska,2564.07,34914.00,13.62,2441,3623,52,4143
Cowley,Kansas,1125.75,34908.00,31.01,1901,3882,9,3972
Lincoln,Oklahoma,952.31,34877.00,36.62,1756,3128,58,3708
Sioux,Iowa,768.33,34855.00,45.36,1555,4894,69,5584
Scotland,North Carolina,318.85,34823.00,109.21,827,3544,80,4344
Clark,Wisconsin,1209.82,34774.00,28.74,1966,3554,62,4174
Greenbrier,West Virginia,1019.57,34662.00,34.00,1825,2458,60,3058
Monroe,Illinois,385.01,34637.00,89.96,969,4153,89,5043
Lincoln,Maine,455.82,34634.00,75.98,1101,628,2,648
Steuben,Indiana,308.94,34594.00,111.98,814,3463,59,4053
Harvey,Kansas,539.75,34429.00,63.79,1255,3496,65,4146
Becker,Minnesota,1315.20,34423.00,26.17,2032,3218,47,3688
Transylvania,North Carolina,378.53,34385.00,90.84,960,2006,28,2286
Marshall,Tennessee,557.12,34375.00,61.70,1282,3981,57,4551
Lincoln,Tennessee,570.34,34366.00,60.26,1296,4201,62,4821
Fulton,Illinois,865.60,34340.00,39.67,1678,3089,56,3649
Nicollet,Minnesota,448.49,34274.00,76.42,1093,2736,42,3156
Miami,Kansas,575.66,34237.00,59.47,1306,2661,41,3071
Panola,Mississippi,685.14,34192.00,49.91,1456,4402,100,5402
Lincoln,Mississippi,586.12,34153.00,58.27,1324,3802,105,4852
Lee,Illinois,724.90,34096.00,47.04,1519,3538,84,4378
Wasatch,Utah,1175.50,34091.00,29.00,1952,4431,21,4641
Pulaski,Virginia,319.86,34027.00,106.38,844,2402,60,3002
Seneca,New York,323.71,34016.00,105.08,854,1740,55,2290
Effingham,Illinois,478.78,34008.00,71.03,1163,4528,80,5328
Whitley,Indiana,335.57,33964.00,101.21,880,3589,39,3979
Halifax,Virginia,817.84,33911.00,41.46,1634,2609,72,3329
Putnam,Ohio,482.52,33861.00,70.18,1173,4040,97,5010
Hot Spring,Arkansas,615.20,33771.00,54.89,1369,4953,68,5633
Clarendon,South Carolina,606.94,33745.00,55.60,1356,3215,104,4255
Wakulla,Florida,606.42,33739.00,55.64,1355,3223,52,3743
Gibson,Indiana,487.49,33659.00,69.05,1186,4154,89,5044
Morgan,Illinois,568.79,33658.00,59.17,1312,3728,100,4728
Lee,Iowa,517.52,33657.00,65.04,1233,3552,54,4092
Wexford,Michigan,565.00,33631.00,59.52,1305,1780,22,2000
Ford,Kansas,1098.27,33619.00,30.61,1908,5637,10,5737
Lumpkin,Georgia,282.93,33610.00,118.79,783,2855,64,3495
Jasper,Indiana,559.63,33562.00,59.97,1298,3259,48,3739
Platte,Nebraska,674.06,33470.00,49.65,1460,3879,47,4349
Preston,West Virginia,648.81,33432.00,51.53,1426,2656,46,3116
Botetourt,Virginia,541.20,33419.00,61.75,1280,2367,34,2707
Emmet,Michigan,467.49,33415.00,71.48,1157,1886,39,2276
Caroline,Maryland,319.42,33406.00,104.58,857,2080,22,2300
Hale,Texas,1004.68,33406.00,33.25,1841,6067,153,7597
Evangeline,Louisiana,662.38,33395.00,50.42,1444,3408,87,4278
Morrison,Minnesota,1125.06,33386.00,29.67,1934,3482,53,4012
Daviess,Indiana,429.49,33351.00,77.65,1078,2872,98,3852
Weakley,Tennessee,580.36,33328.00,57.43,1334,3857,60,4457
Chambers,Alabama,596.53,33254.00,55.75,1352,3466,114,4606
Marion,Iowa,554.53,33253.00,59.97,1299,3473,74,4213
Lyon,Kansas,847.47,33195.00,39.17,1684,4171,83,5001
Rhea,Tennessee,315.38,33167.00,105.17,852,4213,75,4963
Pike,Alabama,672.09,33114.00,49.27,1468,2993,74,3733
Lawrence,Alabama,690.68,32924.00,47.67,1503,2908,92,3828
McCurtain,Oklahoma,371.08,32832.00,88.48,984,3860,70,4560
Titus,Texas,406.05,32750.00,80.66,1044,3645,83,4475
Taos,New Mexico,2203.11,32723.00,14.85,2402,1596,50,2096
Bladen,North Carolina,874.33,32722.00,37.43,1733,3055,41,3465
Lafayette,Missouri,628.43,32708.00,52.05,1421,3056,56,3616
Bureau,Illinois,869.03,32628.00,37.55,1731,3389,91,4299
Pickens,Georgia,232.06,32591.00,140.44,706,3244,74,3984
Bee,Texas,880.24,32565.00,37.00,1750,3447,67,4117
Iberville,Louisiana,618.63,32511.00,52.55,1415,3612,94,4552
Jackson,Ohio,420.30,32413.00,77.12,1082,2955,50,3455
Clinton,Indiana,405.07,32399.00,79.98,1052,4021,58,4601
Henry,Tennessee,562.10,32345.00,57.54,1333,3052,76,3812
Accomack,Virginia,449.50,32316.00,71.89,1152,2682,37,3052
Jefferson,Indiana,360.63,32308.00,89.59,973,2985,76,3745
Christian,Illinois,709.38,32304.00,45.54,1553,3376,89,4266
Chester,South Carolina,580.66,32244.00,55.53,1358,3902,69,4592
Jefferson,Washington,1803.70,32221.00,17.86,2313,343,2,363
Pontotoc,Mississippi,497.69,32174.00,64.65,1239,4140,72,4860
Polk,Missouri,635.52,32149.00,50.59,1442,3282,39,3672
Logan,West Virginia,453.74,32019.00,70.57,1170,2885,82,3705
Juneau City and Borough,Alaska,2701.93,31974.00,11.83,2511,1254,3,1284
Claiborne,Tennessee,434.58,31959.00,73.54,1134,2927,71,3637
Stone,Missouri,464.03,31952.00,68.86,1190,2350,39,2740
Dorchester,Maryland,540.77,31929.00,59.04,1313,2430,48,2910
Greene,Indiana,542.50,31922.00,58.84,1319,2671,85,3521
Montgomery,Kansas,643.53,31829.00,49.46,1465,3379,6,3439
Randolph,Illinois,575.50,31782.00,55.23,1365,4007,87,4877
Geary,Kansas,384.62,31670.00,82.34,1031,3124,25,3374
Amherst,Virginia,473.93,31605.00,66.69,1217,2758,33,3088
Coos,New Hampshire,1794.69,31563.00,17.59,2322,1431,38,1811
Stark,North Dakota,1334.74,31489.00,23.59,2110,4493,50,4993
Washington,Maine,2562.66,31379.00,12.24,2500,750,14,890
Gilmer,Georgia,426.54,31369.00,73.54,1133,2851,79,3641
Jefferson Davis,Louisiana,651.33,31368.00,48.16,1492,2964,88,3844
Hardin,Ohio,470.41,31365.00,66.68,1218,2538,60,3138
Polk,Minnesota,1971.13,31364.00,15.91,2368,3486,65,4136
Morton,North Dakota,1926.27,31364.00,16.28,2359,4976,97,5946
Adams,Nebraska,563.27,31363.00,55.68,1354,2775,38,3155
Franklin,Alabama,633.82,31362.00,49.48,1464,4176,82,4996
Petersburg city,Virginia,22.93,31346.00,1367.03,111,3413,74,4153
Delta,Colorado,1142.05,31162.00,27.29,2010,2509,60,3109
Knox,Kentucky,386.30,31145.00,80.62,1046,3157,28,3437
Ottawa,Oklahoma,470.82,31127.00,66.11,1223,3701,50,4201
Marshall,Kentucky,437.29,31100.00,71.12,1161,2599,51,3109
Summit,Colorado,608.36,31011.00,50.97,1436,3203,7,3273
Schoharie,New York,621.82,30999.00,49.85,1457,1339,13,1469
Wabash,Indiana,412.43,30996.00,75.15,1114,3377,77,4147
Huron,Michigan,835.71,30981.00,37.07,1745,2560,62,3180
Clare,Michigan,564.32,30950.00,54.84,1370,1646,69,2336
Sanpete,Utah,1590.15,30939.00,19.46,2260,3633,19,3823
Vernon,Wisconsin,791.58,30822.00,38.94,1691,1922,40,2322
White,Georgia,240.69,30798.00,127.96,751,3101,75,3851
Caroline,Virginia,527.51,30725.00,58.25,1327,1925,31,2235
Adams,Mississippi,462.41,30693.00,66.38,1221,2403,79,3193
Kleberg,Texas,881.31,30680.00,34.81,1805,2451,88,3331
Marion,South Carolina,359.13,30657.00,85.36,1008,3339,101,4349
Bolivar,Mississippi,876.57,30628.00,34.94,1798,4713,125,5963
Muhlenberg,Kentucky,467.08,30622.00,65.56,1226,2825,56,3385
Mecklenburg,Virginia,625.49,30587.00,48.90,1476,2096,61,2706
Lassen,California,4541.18,30573.00,6.73,2704,5634,1,5644
Malheur,Oregon,9887.53,30571.00,3.09,2903,3384,58,3964
Marshall,West Virginia,308.74,30531.00,98.89,897,3134,72,3854
Sheridan,Wyoming,2523.99,30485.00,12.08,2504,3048,31,3358
Dillon,South Carolina,404.87,30479.00,75.28,1111,4149,81,4959
Lake,Montana,1490.15,30458.00,20.44,2226,1966,26,2226
Williamsburg,South Carolina,934.16,30368.00,32.51,1850,3908,94,4848
Freeborn,Minnesota,707.09,30281.00,42.82,1606,2987,25,3237
Franklin,Maine,1696.61,30199.00,17.80,2316,958,13,1088
Smyth,Virginia,450.93,30104.00,66.76,1216,2566,89,3456
Jasper,South Carolina,655.32,30073.00,45.89,1546,2206,43,2636
Obion,Tennessee,544.73,30069.00,55.20,1366,4403,95,5353
Boyle,Kentucky,180.17,30060.00,166.84,618,3232,59,3822
Austin,Texas,646.51,30032.00,46.45,1528,1954,34,2294
Cass,Texas,936.96,30026.00,32.05,1866,1814,79,2604
Caledonia,Vermont,648.86,29993.00,46.22,1534,560,5,610
Lee,Georgia,355.78,29992.00,84.30,1015,2666,54,3206
Wayne,Georgia,641.78,29927.00,46.63,1526,3401,80,4201
Elk,Pennsylvania,827.36,29910.00,36.15,1769,2407,36,2767
Gallia,Ohio,466.53,29898.00,64.09,1250,2264,43,2694
Madison,Georgia,424.30,29880.00,70.42,1171,3146,52,3666
Jefferson,Idaho,1093.50,29871.00,27.32,2008,2686,22,2906
Haralson,Georgia,282.17,29792.00,105.58,848,2513,78,3293
Carroll,Virginia,474.69,29791.00,62.76,1268,2195,65,2845
Cass,Minnesota,2021.54,29779.00,14.73,2406,2267,26,2527
Marion,Alabama,742.29,29709.00,40.02,1676,3042,99,4032
Yazoo,Mississippi,922.95,29690.00,32.17,1861,2991,67,3661
McDonough,Illinois,386.79,29682.00,76.74,1090,2371,53,2901
Powhatan,Virginia,260.22,29652.00,113.95,801,1730,10,1830
Trempealeau,Wisconsin,732.97,29649.00,40.45,1662,3521,40,3921
Pine,Minnesota,1411.29,29579.00,20.96,2206,2903,20,3103
Sumter,Georgia,482.70,29524.00,61.16,1289,2493,95,3443
Giles,Tennessee,610.93,29464.00,48.23,1488,3807,98,4787
Baker,Florida,585.23,29210.00,49.91,1455,3335,59,3925
Park,Wyoming,6942.08,29194.00,4.21,2816,2641,29,2931
Palo Pinto,Texas,951.79,29189.00,30.67,1905,2828,70,3528
Mason,Michigan,495.07,29144.00,58.87,1317,1290,27,1560
Dunklin,Missouri,541.07,29131.00,53.84,1390,2727,19,2917
Neshoba,Mississippi,570.14,29118.00,51.07,1434,3928,173,5658
Morgan,Colorado,1280.43,29068.00,22.70,2141,2504,92,3424
Fredericksburg city,Virginia,10.44,29036.00,2781.23,38,1835,22,2055
Stoddard,Missouri,823.22,29025.00,35.26,1795,2480,37,2850
Garrett,Maryland,647.10,29014.00,44.84,1571,1885,62,2505
Custer,Oklahoma,988.82,29003.00,29.33,1944,4044,72,4764
Marion,Tennessee,307.14,28907.00,94.12,935,3020,45,3470
Orange,Vermont,687.03,28892.00,42.05,1622,537,3,567
Le Sueur,Minnesota,448.76,28887.00,64.37,1243,2468,22,2688
Grimes,Texas,787.46,28880.00,36.67,1755,3494,66,4154
San Jacinto,Texas,569.24,28859.00,50.70,1441,1114,32,1434
Union,Mississippi,415.60,28815.00,69.33,1179,3997,74,4737
Hancock,West Virginia,82.61,28810.00,348.75,369,2607,95,3557
Caddo,Oklahoma,1278.29,28762.00,22.50,2155,3884,61,4494
Jones,Georgia,393.93,28735.00,72.94,1140,1949,52,2469
Randolph,West Virginia,1039.68,28695.00,27.60,1997,2433,12,2553
Wythe,Virginia,461.82,28684.00,62.11,1275,2169,73,2899
Logan,Illinois,618.06,28618.00,46.30,1532,3374,67,4044
Cherokee,North Carolina,455.43,28612.00,62.82,1266,2191,19,2381
Jackson,West Virginia,464.35,28576.00,61.54,1284,1719,57,2289
Meade,Kentucky,305.42,28572.00,93.55,940,1903,19,2093
Ellis,Kansas,899.91,28553.00,31.73,1877,3713,61,4323
Dinwiddie,Virginia,503.72,28544.00,56.67,1342,1927,42,2347
McPherson,Kansas,900.18,28542.00,31.71,1879,3215,85,4065
Marion,Missouri,526.98,28530.00,54.14,1386,3145,42,3565
Fayette,Ohio,406.36,28525.00,70.20,1172,2729,47,3199
Montgomery,Illinois,703.69,28414.00,40.38,1665,3576,77,4346
Alpena,Michigan,571.86,28405.00,49.67,1459,1533,48,2013
Glenn,California,1313.95,28393.00,21.61,2184,2769,24,3009
Carroll,Arkansas,630.09,28380.00,45.04,1565,2739,44,3179
Meade,South Dakota,3470.98,28332.00,8.16,2644,2673,31,2983
Ripley,Indiana,446.43,28324.00,63.45,1259,3297,66,3957
Tate,Mississippi,404.76,28321.00,69.97,1175,3160,78,3940
Wells,Indiana,368.09,28296.00,76.87,1087,2708,81,3518
Van Wert,Ohio,409.16,28275.00,69.10,1183,2326,60,2926
Hocking,Ohio,421.32,28264.00,67.08,1208,2005,57,2575
Bradford,Florida,293.96,28201.00,95.93,920,2899,54,3439
Leflore,Mississippi,592.54,28183.00,47.56,1506,3439,123,4669
Montgomery,Kentucky,197.37,28157.00,142.66,696,2388,30,2688
Scott,Mississippi,609.19,28124.00,46.17,1537,3032,71,3742
Henderson,Tennessee,520.07,28117.00,54.06,1388,3647,74,4387
