Jurisdiction,State,Land Area,Population,Population Density,PD Rank,Cases,Deaths,Score
Morris,New Jersey,460.18,491845.00,1068.81,141,42348,1160,53948
Polk,Iowa,573.80,490161.00,854.24,168,53424,577,59194
Clark,Washington,629.00,488241.00,776.22,187,19710,243,22140
Lake,Indiana,498.96,485493.00,973.01,152,49452,945,58902
Ada,Idaho,1052.58,481587.00,457.53,285,48347,445,52797
Seminole,Florida,309.22,471826.00,1525.86,96,28892,449,33382
Washoe,Nevada,6302.37,471519.00,74.82,1118,43629,658,50209
Prince William,Virginia,336.40,470335.00,1398.14,107,40969,469,45659
Knox,Tennessee,508.22,470313.00,925.41,160,48446,602,54466
Hampden,Massachusetts,617.14,466372.00,755.70,195,44123,1414,58263
Tulare,California,4824.22,466195.00,96.64,909,48770,805,56820
Pinal,Arizona,5365.61,462789.00,86.25,1002,48719,833,57049
Onondaga,New York,778.39,460528.00,591.64,226,33504,647,39974
Virginia Beach city,Virginia,249.02,449974.00,1806.98,74,32303,358,35883
York,Pennsylvania,904.18,449058.00,496.65,271,37881,743,45311
Solano,California,821.77,447643.00,544.73,246,30750,181,32560
Santa Barbara,California,2735.09,446499.00,163.25,629,32836,435,37186
Burlington,New Jersey,798.58,445349.00,557.68,239,38004,779,45794
East Baton Rouge,Louisiana,455.37,440059.00,966.38,155,36738,758,44318
Monterey,California,3280.60,434061.00,132.31,740,42734,337,46104
Sarasota,Florida,555.87,433742.00,780.29,185,28399,775,36149
Jefferson,Louisiana,295.63,432493.00,1462.95,100,44684,874,53424
Dakota,Minnesota,562.17,429021.00,763.15,191,37971,404,42011
Lucas,Ohio,340.86,428348.00,1256.67,120,36804,742,44224
Cameron,Texas,890.92,423163.00,474.97,277,38122,1555,53672
Berks,Pennsylvania,856.51,421164.00,491.72,273,38084,919,47274
Clackamas,Oregon,1870.32,418187.00,223.59,520,13867,200,15867
Hillsborough,New Hampshire,876.14,417025.00,475.98,276,30062,595,36012
Richland,South Carolina,757.07,415759.00,549.17,244,43083,521,48293
Loudoun,Virginia,515.56,413538.00,802.11,178,24491,263,27121
Mobile,Alabama,1229.44,413210.00,336.10,383,37182,775,44932
Charleston,South Carolina,916.09,411406.00,449.09,292,39837,475,44587
Genesee,Michigan,636.98,405813.00,637.09,212,27796,768,35476
Waukesha,Wisconsin,549.57,404198.00,735.48,197,45882,541,51292
Manatee,Florida,742.93,403253.00,542.79,247,33763,630,40063
St. Charles,Missouri,560.44,402022.00,717.33,202,40594,462,45214
Placer,California,1407.01,398329.00,283.10,434,20493,244,22933
Pulaski,Arkansas,759.76,391911.00,515.84,266,38072,603,44102
Orleans,Louisiana,169.42,390144.00,2302.82,51,29025,778,36805
Orange,New York,811.69,384940.00,474.25,279,40795,664,47435
Collier,Florida,1998.32,384902.00,192.61,564,31697,490,36597
Butler,Ohio,467.06,383134.00,820.31,177,36515,555,42065
Forsyth,North Carolina,408.15,382295.00,936.65,158,32874,357,36444
Lane,Oregon,4553.12,382067.00,83.91,1016,10556,139,11946
Allen,Indiana,657.31,379299.00,577.05,235,37049,679,43839
Osceola,Florida,1327.45,375751.00,283.06,435,38577,473,43307
Brazoria,Texas,1357.70,374264.00,275.66,444,34691,427,38961
Madison,Alabama,801.59,372909.00,465.21,282,33249,486,38109
Stark,Ohio,575.27,370606.00,644.23,211,30148,866,38808
Lehigh,Pennsylvania,345.17,369318.00,1069.96,140,32528,797,40498
Hamilton,Tennessee,542.43,367804.00,678.07,208,41954,469,46644
Washtenaw,Michigan,705.97,367601.00,520.70,261,20227,255,22777
Mercer,New Jersey,224.56,367430.00,1636.22,83,29659,898,38639
Lake,Florida,938.38,367118.00,391.23,338,25943,593,31873
Marion,Florida,1584.55,365579.00,230.71,506,28609,904,37649
Bell,Texas,1051.02,362924.00,345.31,372,21260,406,25320
Nueces,Texas,838.48,362294.00,432.08,302,38939,742,46359
Anoka,Minnesota,423.01,356921.00,843.76,169,34479,404,38519
Larimer,Colorado,2596.00,356899.00,137.48,719,21400,227,23670
Davis,Utah,298.78,355481.00,1189.78,127,35761,150,37261
Horry,South Carolina,1133.90,354081.00,312.27,404,36198,549,41688
Chesterfield,Virginia,423.30,352802.00,833.46,170,24806,385,28656
Douglas,Colorado,840.25,351154.00,417.92,309,23332,234,25672
Westmoreland,Pennsylvania,1027.55,348899.00,339.54,376,28094,696,35054
Marion,Oregon,1182.33,347818.00,294.18,419,19037,295,21987
Galveston,Texas,378.36,342139.00,904.27,164,36383,383,40213
Hamilton,Indiana,394.27,338011.00,857.31,167,33011,420,37211
Cumberland,North Carolina,652.32,335509.00,514.33,267,25242,289,28132
Rutherford,Tennessee,619.36,332285.00,536.50,254,39910,398,43890
Henrico,Virginia,233.70,330818.00,1415.57,105,22452,562,28072
Somerset,New Jersey,301.81,328934.00,1089.87,138,25168,800,33168
St. Lucie,Florida,571.93,328297.00,574.02,236,23415,569,29105
Boulder,Colorado,726.29,326196.00,449.13,291,20033,250,22533
Rockland,New York,173.55,325789.00,1877.21,71,41858,709,48948
Howard,Maryland,250.74,325690.00,1298.92,116,16716,221,18926
Weld,Colorado,3987.24,324492.00,81.38,1038,26800,322,30020
Fayette,Kentucky,283.65,323152.00,1139.26,132,33691,273,36421
Durham,North Carolina,285.98,321488.00,1124.16,135,23152,214,25292
Spartanburg,South Carolina,807.93,319785.00,395.81,328,37704,746,45164
Lancaster,Nebraska,837.55,319090.00,380.98,346,29111,221,31321
Escambia,Florida,656.46,318316.00,484.90,275,34537,657,41107
Luzerne,Pennsylvania,890.33,317417.00,356.52,366,26092,756,33652
Lubbock,Texas,895.60,310569.00,346.77,371,48433,773,56163
Lorain,Ohio,491.10,309833.00,630.90,213,22679,452,27199
Rockingham,New Hampshire,694.72,309769.00,445.89,293,19817,222,22037
McHenry,Illinois,539.24,307774.00,570.76,237,25149,295,28099
Albany,New York,522.80,305506.00,584.36,232,21914,339,25304
Northampton,Pennsylvania,369.67,305285.00,825.83,174,28822,668,35502
St. Louis city,Missouri,61.91,300576.00,4855.05,15,22178,441,26588
